DATE,USDONTD156N
2015/9/23,0.136
2015/9/24,0.136
2015/9/25,0.1345
2015/9/28,0.1345
2015/9/29,0.1335
2015/9/30,0.1162
2015/10/1,0.1325
2015/10/2,0.1325
2015/10/5,0.1325
2015/10/6,0.132
2015/10/7,0.1315
2015/10/8,0.131
2015/10/9,0.132
2015/10/12,.
2015/10/13,0.132
2015/10/14,0.132
2015/10/15,0.1325
2015/10/16,0.132
2015/10/19,0.1315
2015/10/20,0.132
2015/10/21,0.132
2015/10/22,0.132
2015/10/23,0.1315
2015/10/26,0.1315
2015/10/27,0.1315
2015/10/28,0.132
2015/10/29,0.132
2015/10/30,0.1248
2015/11/2,0.131
2015/11/3,0.131
2015/11/4,0.131
2015/11/5,0.131
2015/11/6,0.131
2015/11/9,0.131
2015/11/10,0.131
2015/11/11,.
2015/11/12,0.1305
2015/11/13,0.131
2015/11/16,0.131
2015/11/17,0.131
2015/11/18,0.131
2015/11/19,0.13
2015/11/20,0.131
2015/11/23,0.1305
2015/11/24,0.1305
2015/11/25,0.1305
2015/11/26,.
2015/11/27,0.1305
2015/11/30,0.128
2015/12/1,0.1305
2015/12/2,0.1305
2015/12/3,0.1305
2015/12/4,0.1305
2015/12/7,0.13
2015/12/8,0.1295
2015/12/9,0.1295
2015/12/10,0.1315
2015/12/11,0.1335
2015/12/14,0.135
2015/12/15,0.1355
2015/12/16,0.1518
2015/12/17,0.3614
2015/12/18,0.3658
2015/12/21,0.3672
2015/12/22,0.3674
2015/12/23,0.3673
2015/12/24,0.3671
2015/12/25,.
2015/12/28,.
2015/12/29,0.366
2015/12/30,0.3661
2015/12/31,0.2745
2016/1/1,.
2016/1/4,0.3658
2016/1/5,0.365
2016/1/6,0.3661
2016/1/7,0.3651
2016/1/8,0.3662
2016/1/11,0.3661
2016/1/12,0.3661
2016/1/13,0.3663
2016/1/14,0.3661
2016/1/15,0.3661
2016/1/18,.
2016/1/19,0.366
2016/1/20,0.3655
2016/1/21,0.3658
2016/1/22,0.3659
2016/1/25,0.366
2016/1/26,0.3657
2016/1/27,0.3659
2016/1/28,0.3684
2016/1/29,0.3674
2016/2/1,0.366
2016/2/2,0.369
2016/2/3,0.3686
2016/2/4,0.3704
2016/2/5,0.37
2016/2/8,0.3763
2016/2/9,0.3771
2016/2/10,0.3731
2016/2/11,0.3715
2016/2/12,0.3708
2016/2/15,.
2016/2/16,0.371
2016/2/17,0.37
2016/2/18,0.3714
2016/2/19,0.3709
2016/2/22,0.371
2016/2/23,0.371
2016/2/24,0.3715
2016/2/25,0.3743
2016/2/26,0.3745
2016/2/29,0.3715
2016/3/1,0.3679
2016/3/2,0.3715
2016/3/3,0.373
2016/3/4,0.372
2016/3/7,0.372
2016/3/8,0.372
2016/3/9,0.372
2016/3/10,0.3725
2016/3/11,0.3725
2016/3/14,0.3743
2016/3/15,0.3753
2016/3/16,0.3743
2016/3/17,0.3748
2016/3/18,0.3743
2016/3/21,0.3743
2016/3/22,0.3743
2016/3/23,0.3753
2016/3/24,0.3745
2016/3/25,.
2016/3/28,.
2016/3/29,0.3755
2016/3/30,0.3772
2016/3/31,0.3831
2016/4/1,0.3791
2016/4/4,0.3794
2016/4/5,0.3777
2016/4/6,0.3782
2016/4/7,0.3782
2016/4/8,0.3775
2016/4/11,0.3792
2016/4/12,0.3792
2016/4/13,0.3802
2016/4/14,0.3797
2016/4/15,0.3807
2016/4/18,0.3812
2016/4/19,0.3827
2016/4/20,0.3822
2016/4/21,0.3817
2016/4/22,0.3812
2016/4/25,0.3812
2016/4/26,0.3807
2016/4/27,0.3802
2016/4/28,0.3827
2016/4/29,0.3837
2016/5/2,.
2016/5/3,0.3857
2016/5/4,0.3858
2016/5/5,0.385
2016/5/6,0.385
2016/5/9,0.385
2016/5/10,0.3845
2016/5/11,0.385
2016/5/12,0.385
2016/5/13,0.3855
2016/5/16,0.3855
2016/5/17,0.386
2016/5/18,0.385
2016/5/19,0.384
2016/5/20,0.3845
2016/5/23,0.385
2016/5/24,0.385
2016/5/25,0.3861
2016/5/26,0.3861
2016/5/27,0.385
2016/5/30,.
2016/5/31,0.3865
2016/6/1,0.3855
2016/6/2,0.3855
2016/6/3,0.3861
2016/6/6,0.3861
2016/6/7,0.3865
2016/6/8,0.3876
2016/6/9,0.3856
2016/6/10,0.3861
2016/6/13,0.3855
2016/6/14,0.3855
2016/6/15,0.385
2016/6/16,0.3855
2016/6/17,0.3865
2016/6/20,0.3901
2016/6/21,0.3901
2016/6/22,0.3896
2016/6/23,0.3911
2016/6/24,0.3934
2016/6/27,0.4001
2016/6/28,0.4016
2016/6/29,0.4051
2016/6/30,0.4116
2016/7/1,0.4061
2016/7/4,.
2016/7/5,0.4096
2016/7/6,0.4112
2016/7/7,0.4127
2016/7/8,0.4122
2016/7/11,0.4137
2016/7/12,0.4122
2016/7/13,0.4127
2016/7/14,0.4122
2016/7/15,0.4152
2016/7/18,0.4159
2016/7/19,0.4159
2016/7/20,0.4174
2016/7/21,0.4179
2016/7/22,0.4179
2016/7/25,0.4179
2016/7/26,0.4179
2016/7/27,0.4164
2016/7/28,0.4159
2016/7/29,0.4129
2016/8/1,0.4144
2016/8/2,0.4179
2016/8/3,0.4174
2016/8/4,0.4179
2016/8/5,0.4189
2016/8/8,0.4189
2016/8/9,0.4188
2016/8/10,0.4197
2016/8/11,0.4202
2016/8/12,0.4191
2016/8/15,0.41889
2016/8/16,0.41778
2016/8/17,0.41722
2016/8/18,0.41722
2016/8/19,0.41556
2016/8/22,0.41667
2016/8/23,0.41778
2016/8/24,0.41833
2016/8/25,0.41989
2016/8/26,0.41833
2016/8/29,.
2016/8/30,0.41944
2016/8/31,0.41944
2016/9/1,0.41611
2016/9/2,0.42044
2016/9/5,.
2016/9/6,0.42044
2016/9/7,0.42156
2016/9/8,0.42211
2016/9/9,0.42156
2016/9/12,0.421
2016/9/13,0.421
2016/9/14,0.42211
2016/9/15,0.42156
2016/9/16,0.42044
2016/9/19,0.42156
2016/9/20,0.42211
2016/9/21,0.42211
2016/9/22,0.42322
2016/9/23,0.42322
2016/9/26,0.42433
