,110029,161820,000985.CSI,399373.SZ,399372.SZ,399375.SZ,399374.SZ,399377.SZ,399376.SZ
日期,基金A,基金B,基金A基准,大盘价值,大盘成长,中盘价值,中盘成长,小盘价值,小盘成长
2014/12/31,2.7931 ,1.1691 ,4219.0020 ,6084.9320,3498.8380,5436.3460,3935.5700,5590.8140,4999.7040
2015/1/5,2.7876 ,1.1702 ,4310.6930 ,6298.0640,3617.2950,5634.5400,4035.0940,5747.9600,5039.9490
2015/1/6,2.8898 ,1.1702 ,4338.9340 ,6243.1410,3609.9200,5638.1380,4102.3030,5740.8340,5119.2600
2015/1/7,2.8918 ,1.1712 ,4341.8940 ,6239.0120,3576.1100,5662.8540,4091.2700,5747.4840,5111.8220
2015/1/8,2.9358 ,1.1712 ,4277.7610 ,6042.1010,3497.0940,5563.1920,4073.6290,5652.9390,5107.3860
2015/1/9,2.9934 ,1.1712 ,4257.0590 ,6059.9660,3493.5480,5486.5740,4053.3800,5591.8660,5102.4590
2015/1/12,3.0880 ,1.1723 ,4209.3830 ,5973.5940,3474.3140,5357.6160,4038.6960,5437.9620,5067.0420
2015/1/13,3.1503 ,1.1712 ,4236.6900 ,5954.5010,3488.0000,5382.9480,4099.5470,5480.0780,5135.1250
2015/1/14,3.1419 ,1.1734 ,4220.6560 ,5961.4280,3478.6100,5324.1880,4075.8660,5432.7640,5127.7920
2015/1/15,3.1549 ,1.1734 ,4304.6870 ,6204.0080,3566.4610,5440.5380,4115.9360,5538.9200,5140.9870
2015/1/16,3.3070 ,1.1734 ,4349.6510 ,6243.5690,3591.1970,5483.3920,4176.3580,5574.7620,5217.9870
2015/1/19,3.2871 ,1.1744 ,4102.0990 ,5658.9830,3331.7000,5084.3500,4035.0660,5225.9990,5059.1310
2015/1/20,3.4341 ,1.1744 ,4196.9710 ,5699.1970,3409.4490,5253.5960,4196.7650,5387.2060,5253.6300
2015/1/21,3.4416 ,1.1766 ,4342.2200 ,6006.0830,3530.2070,5437.5030,4295.2220,5551.3180,5367.0910
2015/1/22,3.4695 ,1.1777 ,4385.0580 ,5983.3640,3538.9820,5505.2430,4348.5570,5630.9920,5446.3460
2015/1/23,3.3532 ,1.1777 ,4368.6230 ,6016.7040,3536.5460,5467.0270,4299.1370,5610.7950,5391.3190
2015/1/26,3.4651 ,1.1798 ,4435.8680 ,5995.8750,3557.7100,5610.6380,4400.8560,5739.5930,5513.9120
2015/1/27,3.4454 ,1.1798 ,4425.5950 ,5892.6350,3507.5040,5602.5740,4399.0730,5764.7900,5536.3850
2015/1/28,3.3978 ,1.1798 ,4383.2160 ,5809.3090,3450.8570,5556.9140,4368.8220,5733.5930,5515.3670
2015/1/29,3.3698 ,1.1809 ,4342.7490 ,5724.8440,3402.6570,5521.3780,4338.8580,5691.9870,5463.9200
2015/1/30,3.3231 ,1.1809 ,4287.8440 ,5656.7580,3384.6050,5425.6030,4282.0190,5623.9930,5412.0110
2015/2/2,3.4035 ,1.1820 ,4227.9810 ,5468.4490,3313.3190,5329.5400,4271.5140,5553.8460,5416.5410
2015/2/3,3.5353 ,1.1820 ,4317.4580 ,5612.0740,3382.0870,5425.8880,4339.6320,5632.8400,5524.7570
2015/2/4,3.5585 ,1.1820 ,4290.9620 ,5544.4790,3340.3280,5384.3630,4304.4330,5635.3400,5517.5130
2015/2/5,3.6041 ,1.1841 ,4261.6160 ,5484.5050,3320.7770,5312.3020,4268.4440,5574.1210,5491.2070
2015/2/6,3.5127 ,1.1830 ,4184.6780 ,5390.0420,3274.4740,5179.7040,4192.2690,5441.5220,5383.0890
2015/2/9,3.4585 ,1.1841 ,4192.6630 ,5447.2610,3300.2060,5163.0690,4168.0190,5412.0110,5354.3240
2015/2/10,3.5472 ,1.1841 ,4257.9650 ,5545.0870,3366.5430,5260.8250,4237.1640,5481.3580,5429.0380
2015/2/11,3.6356 ,1.1863 ,4300.6780 ,5562.7320,3388.3830,5306.9390,4292.5570,5514.3200,5496.8040
2015/2/12,3.6356 ,1.1863 ,4323.5570 ,5578.1500,3392.6240,5338.6790,4332.3490,5555.9780,5533.1180
2015/2/13,3.6868 ,1.1873 ,4376.2320 ,5615.6660,3426.1070,5407.2590,4409.3500,5656.4290,5627.2430
2015/2/16,3.8455 ,1.1884 ,4436.6100 ,5618.8030,3453.4100,5466.7650,4480.5060,5729.7870,5733.3520
2015/2/17,3.8887 ,1.1906 ,4468.3030 ,5661.9430,3478.0450,5544.3940,4513.3500,5785.7300,5761.1730
2015/2/25,3.7035 ,1.1938 ,4436.9400 ,5588.0320,3439.3410,5538.3460,4470.5650,5807.3540,5745.0200
2015/2/26,3.7240 ,1.1938 ,4512.4610 ,5739.5580,3508.5380,5657.1930,4520.7680,5899.1760,5786.8070
2015/2/27,3.8026 ,1.1938 ,4540.1350 ,5736.8620,3512.2800,5667.2310,4550.4820,5931.9190,5845.8940
2015/3/2,3.9372 ,1.1938 ,4607.9450 ,5750.5010,3531.3740,5767.7690,4627.9670,6036.1500,5976.3970
2015/3/3,3.9232 ,1.1927 ,4537.4680 ,5565.3790,3434.0120,5701.6100,4577.6100,5988.0260,5933.5010
2015/3/4,3.9878 ,1.1916 ,4589.9020 ,5561.9190,3458.4960,5768.1590,4672.5460,6057.1320,6030.1470
2015/3/5,3.9348 ,1.1916 ,4575.7890 ,5463.2910,3403.1750,5737.4000,4699.9530,6066.5020,6038.4390
2015/3/6,3.8273 ,1.1906 ,4535.4550 ,5473.1000,3385.4870,5712.5120,4636.2410,6045.9080,5968.5970
2015/3/9,3.9262 ,1.1916 ,4604.9990 ,5638.9370,3496.1930,5790.8990,4686.6170,6108.4780,6054.6320
2015/3/10,3.9818 ,1.1906 ,4624.6470 ,5555.5450,3473.4650,5845.4320,4767.6150,6157.2460,6133.2210
2015/3/11,3.9571 ,1.1906 ,4625.7280 ,5581.7620,3479.6160,5813.3700,4758.2250,6157.0190,6144.8380
2015/3/12,3.9407 ,1.1916 ,4661.8110 ,5769.5190,3565.8830,5855.0970,4760.1160,6175.7970,6131.4080
2015/3/13,4.0482 ,1.1906 ,4710.8520 ,5797.6450,3590.4710,5923.1850,4810.0860,6257.9610,6247.5420
2015/3/16,4.2054 ,1.1906 ,4841.6060 ,5915.9960,3667.8520,6110.0000,4961.4360,6424.7890,6454.2310
2015/3/17,4.1902 ,1.1906 ,4908.6450 ,6003.3490,3695.3750,6245.6880,5022.8890,6508.2430,6507.1040
2015/3/18,4.2330 ,1.1906 ,5012.0410 ,6161.2920,3786.6760,6372.9260,5101.9010,6632.1000,6628.7070
2015/3/19,4.2711 ,1.1906 ,5027.4490 ,6142.1850,3767.0120,6408.3840,5119.6920,6691.7650,6663.0280
2015/3/20,4.3974 ,1.1906 ,5089.9610 ,6215.1020,3790.6800,6432.9420,5166.2480,6731.4810,6777.9330
2015/3/23,4.5950 ,1.1906 ,5208.8910 ,6324.6570,3866.0910,6595.0350,5317.8240,6872.0870,6988.6860
2015/3/24,4.7587 ,1.1906 ,5231.4210 ,6286.1730,3856.1580,6677.3710,5378.9030,6858.7480,7074.3760
2015/3/25,4.7947 ,1.1883 ,5241.5170 ,6188.5630,3816.0310,6667.3940,5421.2530,6879.2640,7167.1460
2015/3/26,4.6141 ,1.1872 ,5212.7720 ,6258.0850,3811.4600,6677.2050,5352.0390,6891.8400,7025.0710
2015/3/27,4.6733 ,1.1860 ,5256.3510 ,6277.7350,3844.7680,6736.5170,5426.7990,6961.7230,7152.6740
2015/3/30,4.5712 ,1.1849 ,5350.5140 ,6535.9370,3979.0040,6911.7930,5517.2410,7128.5240,7208.0810
2015/3/31,4.6721 ,1.1849 ,5335.4890 ,6430.2990,3950.3220,6822.0260,5510.2290,7067.8530,7258.0110
2015/4/1,4.8168 ,1.1849 ,5448.1650 ,6502.9670,4005.0800,6923.6920,5639.0230,7219.6210,7484.6900
2015/4/2,4.9236 ,1.1849 ,5509.2120 ,6458.3200,4008.1530,7000.6540,5747.0280,7353.1420,7646.4560
2015/4/3,4.9939 ,1.1860 ,5590.9370 ,6493.5260,4027.0620,7072.5670,5834.3700,7474.8780,7806.5230
2015/4/7,5.0939 ,1.1849 ,5711.5170 ,6667.7630,4124.6730,7234.3490,5942.0380,7654.2930,8019.3900
2015/4/8,4.9695 ,1.1860 ,5706.0980 ,6803.1870,4148.7380,7190.4510,5857.7220,7588.1350,7959.0110
2015/4/9,5.0248 ,1.1860 ,5660.2410 ,6768.7600,4109.5190,7141.1150,5792.5120,7522.4860,7997.4090
2015/4/10,5.1981 ,1.1872 ,5787.2100 ,6895.9990,4197.9210,7291.1620,5960.7500,7703.9240,8182.3500
2015/4/13,5.3415 ,1.1872 ,5901.7480 ,7066.9940,4279.5610,7471.7600,6097.9140,7896.3170,8259.3050
2015/4/14,5.3508 ,1.1883 ,5915.9370 ,7097.4910,4269.2020,7512.2570,6101.2390,7931.1950,8201.0160
2015/4/15,5.1022 ,1.1894 ,5764.9130 ,7158.7720,4228.8480,7279.0310,5837.4370,7658.9380,7846.7830
2015/4/16,5.2171 ,1.1894 ,5885.2250 ,7430.7850,4372.4520,7391.6290,5911.4710,7770.0460,7947.2090
2015/4/17,5.2055 ,1.1894 ,5958.1440 ,7577.7000,4409.2240,7565.4020,5934.9040,7879.9920,7944.7790
2015/4/20,5.0290 ,1.1928 ,5852.9590 ,7435.6460,4321.9680,7578.3100,5798.9060,7740.0240,7742.8060
2015/4/21,5.2758 ,1.1951 ,6023.4200 ,7501.7940,4448.7480,7741.3310,5978.6830,7972.5250,8046.8800
2015/4/22,5.4865 ,1.1962 ,6188.0100 ,7645.0100,4543.7440,7944.0290,6117.9320,8212.1930,8222.1240
2015/4/23,5.6484 ,1.1973 ,6224.5620 ,7581.3030,4527.8600,8050.4750,6170.4440,8310.9150,8303.5610
2015/4/24,5.7118 ,1.1962 ,6205.1620 ,7477.5880,4471.1860,8051.5250,6144.9640,8252.3630,8278.6710
2015/4/27,5.7490 ,1.1985 ,6300.9250 ,7733.0340,4552.2650,8219.3600,6189.6340,8333.6510,8308.5630
2015/4/28,5.6550 ,1.1973 ,6167.8600 ,7756.6770,4519.9450,7997.1890,5998.9890,8105.1640,8050.9660
2015/4/29,5.8758 ,1.1985 ,6257.5930 ,7732.8180,4554.3230,8109.7490,6126.1520,8242.9280,8226.6770
2015/4/30,6.0857 ,1.2019 ,6258.6070 ,7694.4080,4548.3280,8092.6690,6123.3980,8250.1560,8296.0140
2015/5/4,5.9809 ,1.2019 ,6307.5710 ,7753.0490,4580.9290,8179.2540,6151.2730,8370.4040,8313.9920
2015/5/5,5.8473 ,1.2019 ,6086.0560 ,7417.3560,4373.3660,7747.4870,5920.3110,7997.6210,8058.6520
2015/5/6,6.0479 ,1.2019 ,6028.2210 ,7331.4980,4352.6100,7526.0810,5867.7340,7783.6340,7994.9000
